name,family,tdp,cores,threads,memory,embodied
Apple M1,Tonga,20,8,8,16.0,777.5
Annapurna Labs Graviton,Graviton,40,16,16,8.0,151.7
Annapurna Labs Graviton,Graviton,40,16,16,4.0,75.9
Annapurna Labs Graviton,Graviton,40,16,16,32.0,607.0
Annapurna Labs Graviton,Graviton,40,16,16,2.0,37.9
Annapurna Labs Graviton,Graviton,40,16,16,16.0,303.5
Intel Core i7-8700B,Coffee Lake,65,6,12,32.0,595.8
Intel Xeon E-2288G,Coffee Lake,95,8,16,16.0,215.6
Intel Xeon E-2288G,Coffee Lake,95,8,16,32.0,431.2
Intel Xeon E-2288G,Coffee Lake,95,8,16,4.0,53.9
Intel Xeon E5-2651 V2,Ivy Bridge,95,12,24,7.0,377.1
Intel Xeon E5-2651 V2,Ivy Bridge,95,12,24,2.0,85.4
Intel Xeon E-2288G,Coffee Lake,95,8,16,8.0,107.8
Intel Xeon E5-2680 V2,Ivy Bridge,115,10,20,30.0,432.2
Intel Xeon E5-2670,Sandy Bridge,115,8,16,244.0,2584.0
Intel Xeon E5-2665,Sandy Bridge,115,8,16,17.0,102.0
Intel Xeon E5-2665,Sandy Bridge,115,8,16,34.0,324.5
Intel Xeon E5-2670,Sandy Bridge,115,8,16,15.0,103.5
Intel Xeon E5-2670,Sandy Bridge,115,8,16,61.0,418.8
Intel Xeon E5-2670,Sandy Bridge,115,8,16,122.0,837.6
Intel Xeon E5-2670,Sandy Bridge,115,8,16,122.0,886.8
Intel Xeon E5-2670,Sandy Bridge,115,8,16,244.0,1774.0
Intel Xeon E5-2665,Sandy Bridge,115,8,16,34.0,204.1
Intel Xeon E5-2670,Sandy Bridge,115,8,16,30.0,283.8
Intel Xeon E5-2670,Sandy Bridge,115,8,16,15.0,208.1
Intel Xeon E5-2670,Sandy Bridge,115,8,16,60.0,832.2
Intel Xeon E5-2670,Sandy Bridge,115,8,16,117.0,875.7
Intel Xeon E5-2665,Sandy Bridge,115,8,16,68.0,646.2
Intel Xeon E5-2670,Sandy Bridge,115,8,16,244.0,1675.0
Intel Xeon E5-2670,Sandy Bridge,115,8,16,1.0,19.7
Intel Xeon E5-2665,Sandy Bridge,115,8,16,17.0,161.6
Intel Xeon E5-2670,Sandy Bridge,115,8,16,3.7,32.0
Intel Xeon E5-2670,Sandy Bridge,115,8,16,3.8,32.1
Intel Xeon E5-2670,Sandy Bridge,115,8,16,61.0,443.4
Intel Xeon E5-2680 V2,Ivy Bridge,115,10,20,7.0,105.0
Intel Xeon E5-2670,Sandy Bridge,115,8,16,15.0,125.4
Intel Xeon E5-2670,Sandy Bridge,115,8,16,30.5,323.1
Intel Xeon E5-2665,Sandy Bridge,115,8,16,68.0,408.2
Intel Xeon E5-2670,Sandy Bridge,115,8,16,7.5,69.2
Intel Xeon E5-2670,Sandy Bridge,115,8,16,15.0,141.9
Intel Xeon E5-2670,Sandy Bridge,115,8,16,31.0,211.8
Intel Xeon E5-2680 V2,Ivy Bridge,115,10,20,15.0,216.1
Intel Xeon E5-2670,Sandy Bridge,115,8,16,244.0,1720.0
Intel Xeon E5-2670,Sandy Bridge,115,8,16,244.0,2375.0
Intel Xeon E5-2670,Sandy Bridge,115,8,16,15.0,160.3
Intel Xeon E5-2670,Sandy Bridge,115,8,16,61.0,646.1
Intel Xeon E5-2670,Sandy Bridge,115,8,16,122.0,1292.0
Intel Xeon E5-2680 V2,Ivy Bridge,115,10,20,3.8,52.8
Intel Xeon E5-2680 V2,Ivy Bridge,115,10,20,60.0,864.3
Intel Xeon E5-2670,Sandy Bridge,115,8,16,3.7,31.9
Intel Xeon E5-2670,Sandy Bridge,115,8,16,30.0,249.6
